index,Age,Workclass,Final weight,Education,Marital-status,Occupation,Relationship,Sex,Capital-gain,Capital-loss,Hours per week,Native country,Income
36721,36, Private,31023, Masters, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States, >50K.
2638,52, ?,159755, Assoc-voc, Married-civ-spouse, ?, Husband, Male,0,0,50, United-States, >50K
36214,36, Private,359001, Assoc-voc, Divorced, Craft-repair, Not-in-family, Male,0,0,40, United-States, <=50K.
27010,42, Self-emp-inc,188615, Bachelors, Married-civ-spouse, Sales, Husband, Male,0,0,60, United-States, >50K
27506,44, Private,43711, Bachelors, Never-married, Other-service, Not-in-family, Male,0,0,48, United-States, <=50K
28135,26, Private,109097, HS-grad, Divorced, Adm-clerical, Unmarried, Female,0,0,48, United-States, <=50K
21250,32, Local-gov,209900, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,65, United-States, >50K
12774,24, Private,112459, Masters, Never-married, Prof-specialty, Not-in-family, Female,0,0,45, United-States, <=50K
42378,58, Private,200316, HS-grad, Married-civ-spouse, Transport-moving, Husband, Male,0,0,40, United-States, <=50K.
3882,51, Private,254230, Some-college, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,40, United-States, >50K
27948,42, Private,383493, Some-college, Married-civ-spouse, Exec-managerial, Husband, Male,15024,0,50, United-States, >50K
10383,33, Private,203488, Some-college, Divorced, Sales, Not-in-family, Male,0,0,40, United-States, <=50K
33611,32, State-gov,189838, Some-college, Divorced, Prof-specialty, Other-relative, Female,0,0,40, United-States, <=50K.
3403,26, Private,31350, 11th, Never-married, Farming-fishing, Not-in-family, Male,0,0,50, United-States, <=50K
16759,28, Private,70034, Bachelors, Married-civ-spouse, Sales, Husband, Male,0,0,45, United-States, >50K
21704,33, Self-emp-not-inc,327902, HS-grad, Married-civ-spouse, Transport-moving, Husband, Male,0,0,45, United-States, <=50K
43675,25, Private,134232, Bachelors, Never-married, Other-service, Own-child, Female,0,0,20, United-States, <=50K.
32662,51, ?,189762, Some-college, Married-civ-spouse, ?, Wife, Female,0,0,18, United-States, <=50K.
14181,27, Private,189462, Masters, Never-married, Adm-clerical, Not-in-family, Female,0,0,46, United-States, <=50K
6095,31, Private,351187, HS-grad, Divorced, Other-service, Unmarried, Male,0,0,40, United-States, <=50K
14592,19, Private,223648, 11th, Never-married, Sales, Own-child, Male,0,0,20, ?, <=50K
2824,39, Private,548510, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,30, United-States, <=50K
871,24, Private,121313, Some-college, Never-married, Transport-moving, Own-child, Male,0,0,50, United-States, <=50K
45129,36, Private,162358, Masters, Never-married, Prof-specialty, Not-in-family, Female,0,1408,40, United-States, <=50K.
39938,27, Private,199998, HS-grad, Divorced, Craft-repair, Unmarried, Female,0,0,32, United-States, <=50K.
3580,63, Private,106023, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, >50K
26430,28, Private,350254, 1st-4th, Never-married, Priv-house-serv, Not-in-family, Female,0,0,40, Mexico, <=50K
4709,38, Private,179668, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States, >50K
40964,37, Self-emp-not-inc,289430, 10th, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, Mexico, <=50K.
43300,23, State-gov,251325, Some-college, Never-married, Sales, Not-in-family, Female,0,0,8, ?, <=50K.
40765,19, ?,317988, Some-college, Never-married, ?, Not-in-family, Male,0,0,15, United-States, <=50K.
12184,30, Private,467108, Bachelors, Never-married, Prof-specialty, Not-in-family, Male,0,0,45, United-States, <=50K
45486,42, Private,23157, Bachelors, Married-civ-spouse, Prof-specialty, Husband, Male,0,0,50, United-States, >50K.
9093,58, Self-emp-inc,130454, Some-college, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States, >50K
17086,45, Private,183598, HS-grad, Divorced, Adm-clerical, Not-in-family, Female,0,0,40, United-States, <=50K
17890,34, Private,324254, HS-grad, Married-civ-spouse, Machine-op-inspct, Husband, Male,0,0,40, United-States, <=50K
10512,37, Private,100508, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, >50K
990,46, Private,187370, Bachelors, Never-married, Sales, Not-in-family, Male,0,1504,40, United-States, <=50K
44068,28, Private,202222, Bachelors, Never-married, Sales, Not-in-family, Male,0,0,40, United-States, <=50K.
26041,18, Private,280603, 11th, Never-married, Sales, Own-child, Female,0,0,30, United-States, <=50K
986,41, Private,349221, HS-grad, Never-married, Craft-repair, Own-child, Female,0,0,35, United-States, <=50K
21425,55, Private,238216, HS-grad, Married-civ-spouse, Craft-repair, Husband, Male,0,0,40, United-States, <=50K
27138,45, Self-emp-not-inc,341117, Some-college, Divorced, Prof-specialty, Not-in-family, Female,0,0,50, United-States, <=50K
122,30, Private,77143, Bachelors, Never-married, Exec-managerial, Own-child, Male,0,0,40, Germany, <=50K
25002,46, Private,98350, 10th, Married-spouse-absent, Other-service, Not-in-family, Male,0,0,37, China, <=50K
19386,58, Self-emp-not-inc,130714, Masters, Married-civ-spouse, Exec-managerial, Husband, Male,0,0,50, United-States, <=50K
32783,25, Private,77698, HS-grad, Never-married, Machine-op-inspct, Not-in-family, Female,0,0,40, Philippines, <=50K.
43159,52, Private,207025, HS-grad, Divorced, Priv-house-serv, Unmarried, Female,0,0,24, United-States, <=50K.
9094,24, Local-gov,461678, 10th, Never-married, Other-service, Not-in-family, Male,0,0,40, United-States, <=50K
18163,22, Local-gov,237811, Assoc-acdm, Never-married, Adm-clerical, Own-child, Female,0,0,35, Haiti, <=50K
3208,47, Private,297884, 10th, Widowed, Machine-op-inspct, Not-in-family, Male,0,0,40, United-States, <=50K
8821,41, Self-emp-not-inc,144594, 7th-8th, Married-civ-spouse, Craft-repair, Husband, Male,0,2179,40, United-States, <=50K
